name,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
IMU24,1695914603880000000,10.132261276245117,-0.31603461503982544,-0.11013327538967133,6,-0.5625,-1.5625,-74.63999938964844,29.799999237060547,-84.46154022216797
IMU24,1695914603978000000,9.825803756713867,-0.42856210470199585,-0.22744916379451752,8,-0.6875,-2.0625,399.8800048828125,-131.1999969482422,30.615385055541992
IMU24,1695914604075000000,9.11233139038086,-0.22266075015068054,0.11252747476100922,9.6875,-0.6875,-2.5,437.239990234375,39.400001525878906,4.230769157409668
IMU24,1695914604173000000,10.005369186401367,0.2849099934101105,0.10534487664699554,11.5,-0.8125,-3,-181.83999633789062,93.19999694824219,-336.5384521484375
IMU24,1695914604319000000,8.856151580810547,0.035913024097681046,0.05746084079146385,12.0625,-0.5625,-2.875,69.23999786376953,107.16000366210938,-559.3076782226562
IMU24,1695914604417000000,9.366116523742676,-0.21787235140800476,0.14604629576206207,13.5625,-1,-2.8125,79.63999938964844,247.36000061035156,-401.76922607421875
IMU24,1695914604514000000,8.71728801727295,0.0694318488240242,0.0454898327589035,13.5,-1,-2.6875,87.72000122070312,381.79998779296875,-316.69232177734375
IMU24,1695914604611000000,9.653421401977539,-0.13168108463287354,0.13407529890537262,13.5,-0.625,-2.5,87.5999984741211,379.67999267578125,-318.76922607421875
IMU24,1695914604709000000,9.919177055358887,-0.7805097699165344,0.4668693244457245,11.6875,-0.375,-4.125,93.63999938964844,464.44000244140625,-279.1538391113281
IMU24,1695914604807000000,10.182539939880371,-0.325611412525177,-0.033518824726343155,10.0625,-0.75,-2.125,96.91999816894531,506.44000244140625,-261.0769348144531
IMU24,1695914604904000000,9.502586364746094,-0.3280056416988373,-0.0071826050989329815,9,-0.3125,-2.25,96.55999755859375,505.760009765625,-261.9230651855469
IMU24,1695914605001000000,10.055646896362305,0.09576806426048279,-0.0071826050989329815,7,0,-1.875,97.87999725341797,523.1599731445312,-254.46153259277344
IMU24,1695914605099000000,9.715670585632324,-0.5602431893348694,0.12689268589019775,5.5625,-0.125,-1.4375,98.19999694824219,527.9199829101562,-250.61538696289062
IMU24,1695914605197000000,9.974244117736816,-0.3016694188117981,0.05985504016280174,3.8125,0,-1.4375,98.12000274658203,527.9600219726562,-251.07691955566406
IMU24,1695914605392000000,9.854534149169922,-0.40701428055763245,-0.014365210197865963,2,0,-0.9375,98.19999694824219,528.3200073242188,-249.3076934814453
IMU24,1695914605396000000,9.952695846557617,0.11252747476100922,-0.016759412363171577,0.8125,0,-0.125,98.08000183105469,528.3200073242188,-249.3076934814453
IMU24,1695914605489000000,9.873687744140625,0.002394201699644327,0.021547814831137657,0,0,0.5,97.91999816894531,528.4000244140625,-249.38461303710938
IMU24,1695914605587000000,9.81143856048584,-0.0694318488240242,0.023942016065120697,-0.25,-0.125,0.375,97.95999908447266,528.239990234375,-249.23077392578125
IMU24,1695914605684000000,9.81383228302002,-0.035913024097681046,-0.016759412363171577,-0.1875,-0.0625,0,98,528.3200073242188,-249.23077392578125
IMU24,1695914605782000000,9.84735107421875,0.043095629662275314,-0.004788403399288654,-0.125,-0.0625,-0.0625,97.80000305175781,528.3200073242188,-249.92308044433594
IMU24,1695914605879000000,9.828197479248047,-0.031124621629714966,-0.016759412363171577,-0.1875,-0.0625,0,98.04000091552734,528.3200073242188,-249.23077392578125
IMU24,1695914605977000000,9.809043884277344,-0.15083470940589905,0.026336219161748886,0,0,0.125,97.68000030517578,528,-248.84616088867188
IMU24,1695914606074000000,9.818620681762695,-0.10295066982507706,0.031124621629714966,-0.25,0,-0.125,98.04000091552734,528.1599731445312,-248.53846740722656
IMU24,1695914606172000000,9.8784761428833,-0.031124621629714966,0.031124621629714966,-0.0625,0,0,97.83999633789062,528.1599731445312,-248.23077392578125
IMU24,1695914606318000000,9.816226959228516,-0.0933738648891449,0.0071826050989329815,-0.125,-0.0625,0.125,97.91999816894531,528.3599853515625,-248.15383911132812
IMU24,1695914606367000000,9.818620681762695,-0.12449848651885986,-0.004788403399288654,0,-0.125,-0.125,97.87999725341797,528.3599853515625,-248.3076934814453
IMU24,1695914606513000000,9.821015357971191,-0.090979665517807,0.023942016065120697,-0.125,-0.1875,-0.125,97.76000213623047,528.6400146484375,-248.3076934814453
IMU24,1695914606610000000,9.856927871704102,-0.040701426565647125,0.004788403399288654,-0.1875,0,0,97.80000305175781,528.3200073242188,-247.92308044433594
IMU24,1695914606708000000,9.84495735168457,-0.09816227108240128,0.033518824726343155,-0.1875,0,0,97.80000305175781,528.3599853515625,-248.6923065185547
IMU24,1695914606806000000,9.823409080505371,-0.08379705995321274,0.016759412363171577,-0.1875,0,-0.0625,97.83999633789062,528.4400024414062,-248.07691955566406
IMU24,1695914606903000000,9.84735107421875,-0.09576806426048279,0.047884032130241394,-0.3125,-0.0625,0,97.72000122070312,528.4400024414062,-248
IMU24,1695914607000000000,9.823409080505371,-0.10295066982507706,0.038307227194309235,-0.0625,-0.125,-0.0625,97.95999908447266,528.47998046875,-248.15383911132812
IMU24,1695914607244000000,9.837774276733398,-0.090979665517807,0.043095629662275314,-0.25,0.125,0,98,528.4000244140625,-248.23077392578125
IMU24,1695914607249000000,9.842562675476074,-0.09816227108240128,0.033518824726343155,0,0,0,97.91999816894531,528.280029296875,-248.76922607421875
IMU24,1695914607294000000,9.821015357971191,-0.09816227108240128,0.016759412363171577,-0.0625,0,-0.0625,98.04000091552734,528.1599731445312,-248.15383911132812
IMU24,1695914607391000000,9.873687744140625,-0.011971008032560349,-0.0071826050989329815,-0.125,0,0.0625,97.91999816894531,528.3200073242188,-248.46153259277344
IMU24,1695914607537000000,9.828197479248047,-0.07900865375995636,0.0071826050989329815,0.0625,-0.0625,-0.0625,97.80000305175781,528.280029296875,-248.07691955566406
IMU24,1695914607586000000,9.832985877990723,-0.05506663769483566,0.016759412363171577,-0.125,0.0625,-0.0625,97.72000122070312,528.4000244140625,-248.61538696289062
IMU24,1695914607683000000,9.84735107421875,-0.07182604819536209,0.0071826050989329815,-0.0625,0,0,97.83999633789062,528.280029296875,-248.3076934814453
IMU24,1695914607781000000,9.832985877990723,-0.05027823522686958,-0.016759412363171577,-0.125,0,0.0625,97.95999908447266,528.2000122070312,-248.76922607421875
IMU24,1695914607976000000,9.864110946655273,-0.06464344263076782,0.043095629662275314,-0.0625,-0.1875,0,97.76000213623047,528.4000244140625,-248.23077392578125
IMU24,1695914608024000000,9.849745750427246,-0.06464344263076782,0,-0.25,0,0.25,97.80000305175781,528.280029296875,-248.15383911132812
IMU24,1695914608121000000,9.861716270446777,-0.08140285313129425,0.05746084079146385,-0.125,-0.125,0,97.68000030517578,528.0399780273438,-248.3076934814453
IMU24,1695914608219000000,9.840168952941895,-0.0933738648891449,0.016759412363171577,-0.0625,-0.1875,0.0625,97.80000305175781,528.4000244140625,-248.38461303710938
IMU24,1695914608317000000,9.821015357971191,-0.0454898327589035,0,0,0,0,98,528.280029296875,-248.15383911132812
IMU24,1695914608415000000,9.837774276733398,-0.08379705995321274,0,-0.125,-0.0625,0.0625,97.95999908447266,528.280029296875,-248.15383911132812
IMU24,1695914608512000000,9.866504669189453,-0.08140285313129425,0.026336219161748886,-0.125,-0.0625,0.0625,97.83999633789062,528.3200073242188,-248.3076934814453
IMU24,1695914608609000000,9.859322547912598,-0.0694318488240242,0.038307227194309235,0,0,0,97.63999938964844,528.3200073242188,-248.07691955566406
IMU24,1695914608707000000,9.832985877990723,-0.035913024097681046,0.009576806798577309,-0.125,0,0.0625,97.83999633789062,528.239990234375,-248
IMU24,1695914608805000000,9.84495735168457,-0.0694318488240242,0.026336219161748886,-0.1875,-0.0625,0,97.95999908447266,528.1599731445312,-247.53846740722656
IMU24,1695914608951000000,9.835380554199219,-0.07900865375995636,0.031124621629714966,-0.125,0,0,98,528.280029296875,-247.6923065185547
IMU24,1695914609049000000,9.842562675476074,-0.08619125932455063,0,-0.1875,-0.0625,0.1875,97.76000213623047,528.4000244140625,-248.15383911132812
IMU24,1695914609097000000,9.856927871704102,-0.0454898327589035,0.014365210197865963,0,-0.0625,-0.0625,97.5999984741211,528.3599853515625,-248.3076934814453
IMU24,1695914609195000000,9.861716270446777,-0.06464344263076782,0.023942016065120697,-0.1875,-0.0625,0.125,97.87999725341797,528.0800170898438,-248
IMU24,1695914609292000000,9.84495735168457,-0.06224924325942993,0.026336219161748886,-0.125,0,0.0625,97.80000305175781,528.2000122070312,-248.07691955566406
IMU24,1695914609390000000,9.837774276733398,-0.07182604819536209,0.004788403399288654,-0.0625,0,0,97.95999908447266,528.5999755859375,-247.76922607421875
IMU24,1695914609535000000,9.864110946655273,-0.08379705995321274,-0.009576806798577309,-0.1875,0,0,97.87999725341797,528.4400024414062,-248.07691955566406
IMU24,1695914609633000000,9.840168952941895,-0.05746084079146385,0.028730420395731926,-0.25,0,0,97.72000122070312,528.2000122070312,-248.3076934814453
IMU24,1695914609730000000,9.806650161743164,-0.0933738648891449,0.035913024097681046,-0.1875,-0.0625,0,97.91999816894531,528.239990234375,-248.23077392578125
IMU24,1695914609828000000,9.837774276733398,-0.07900865375995636,0.023942016065120697,-0.25,0,-0.0625,97.76000213623047,528.0399780273438,-247.92308044433594
IMU24,1695914609926000000,9.832985877990723,-0.0933738648891449,0.016759412363171577,-0.0625,0,0,97.95999908447266,528.2000122070312,-248.15383911132812
IMU24,1695914610023000000,9.854534149169922,-0.08140285313129425,0.014365210197865963,-0.1875,-0.125,0,97.87999725341797,528.1599731445312,-248.38461303710938
IMU24,1695914610121000000,9.849745750427246,-0.07422025501728058,0.028730420395731926,-0.125,0,0,97.91999816894531,528.2000122070312,-248.23077392578125
IMU24,1695914610219000000,9.830592155456543,-0.06464344263076782,0.033518824726343155,-0.125,-0.25,0,97.80000305175781,528.2000122070312,-247.84616088867188
IMU24,1695914610316000000,9.842562675476074,-0.0694318488240242,0.038307227194309235,0,-0.1875,0.0625,97.91999816894531,528.0399780273438,-248.76922607421875
IMU24,1695914610414000000,9.782708168029785,-0.15083470940589905,0.06464344263076782,0,-0.125,0,97.80000305175781,528.280029296875,-248.61538696289062
IMU24,1695914610511000000,9.8784761428833,-0.12928688526153564,0.06464344263076782,0,0,0,97.87999725341797,528,-248.38461303710938
IMU24,1695914610608000000,9.701305389404297,-0.15801730751991272,0.038307227194309235,-0.125,0,-0.0625,98.23999786376953,528.4400024414062,-247.46153259277344
IMU24,1695914610755000000,9.583989143371582,0.0694318488240242,-0.043095629662275314,-0.0625,0,0,98.04000091552734,528.0800170898438,-247.84616088867188
IMU24,1695914610803000000,9.488221168518066,-0.011971008032560349,0.0071826050989329815,-0.125,0.0625,0.3125,97.91999816894531,528.1199951171875,-248.15383911132812
IMU24,1695914610901000000,9.816226959228516,0.2992752194404602,-0.090979665517807,-0.1875,0,-0.0625,97.95999908447266,528.1599731445312,-248.3076934814453
IMU24,1695914611047000000,9.720458984375,0.021547814831137657,-0.023942016065120697,-0.1875,0.125,-0.25,98.27999877929688,528.4000244140625,-248.23077392578125
IMU24,1695914611144000000,9.435548782348633,-0.1388636976480484,-0.038307227194309235,-0.3125,0.25,0,98.27999877929688,528.4400024414062,-248.38461303710938
IMU24,1695914611242000000,9.995792388916016,-0.2968810200691223,0.1412578970193863,-0.375,0.25,0,98.31999969482422,528.1599731445312,-248.46153259277344
IMU24,1695914611339000000,10.050858497619629,0.22505494952201843,0.17717091739177704,-0.5625,0,-0.5,98.36000061035156,528.280029296875,-248.38461303710938
IMU24,1695914611437000000,9.859322547912598,-0.18914192914962769,0.08858545869588852,0.1875,0,0.125,98.19999694824219,528.0399780273438,-248
IMU24,1695914611534000000,9.63187313079834,-0.2992752194404602,-0.1364694982767105,-0.0625,-0.0625,0.125,97.95999908447266,528.0800170898438,-247.84616088867188
IMU24,1695914611632000000,10.046070098876953,-0.12689268589019775,0.11971008032560349,0.125,-0.125,0.0625,98.08000183105469,528.1599731445312,-248.38461303710938
IMU24,1695914611729000000,9.866504669189453,-0.047884032130241394,0,-0.0625,-0.25,0.3125,98.36000061035156,527.9600219726562,-248
IMU24,1695914611827000000,10.0580415725708,-0.038307227194309235,0.05267243832349777,0.0625,-0.125,0.25,98.23999786376953,527.9199829101562,-248.76922607421875
